"full","test_futureBasic","test_futureBasic-anonymyzed"
"account","account","account"
"fund","tax","tax"
"tax","fund","fund"
"fidelity","fidelity","fidelity"
"thanks","thanks","thanks"
"stock","stock","stock"
"cash","cash","cash"
"trade","number","number"
"number","trade","trade"
"trading","good","good"
"good","trading","trading"
"day","client","client"
"transfer","day","day"
"money","transfer","transfer"
"margin","today","today"
"today","money","money"
"market","plan","plan"
"client","form","form"
"time","order","order"
"ira","ira","ira"
"order","margin","margin"
"plan","time","time"
"question","market","market"
"option","question","question"
"form","option","option"
