id,collection,dc:title,dc:description,dc:format,dcat.Distribution.downloadURL,dc:source,foaf:homePage,dct:SizeOrDuration,dc:relation,dc.relation.uri
+,123456789/293169,System_ANG1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmTiFA7Qf4nMp5RPVC7YKZiNy9eK7Mp3HcQP9mGGfwYArp,LOD Laundromat,https://github.com/LOD-Laundromat,1824,System_ANG1,QmcqdJXfFWFxrgXramREw7QC78zXCAFgTnF99zS2Qx4JfU
+,123456789/293169,System_DRAC2,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmP15CtCLb4pw9CjJQQiddJDPnF4Hje8YpK3MHkb35TNjg,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_DRAC2|System_DRAC2|System_DRAC2|System_DRAC2,QmYR7jz39YKQQQxUSCCVLPZp1ydX8jP9JLvxp8jRTFfwRs|QmTz1QE2a8wYxLeefbjPtd5do9MHdJcAv9f1w1fzn5zSDr|QmcSRkbG8QtekRDWqFyVcpwjfg9dTXQN9Vem92Tj97tR2Z|QmQ2TYwpYJkREsuEus3AytNtFgNN3SMJkkNHyBjt2DRPea
+,123456789/293169,System_KGRD,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmVonY4x6UZu5jh8WygLvD74EiH7TvkF8LVGZuSWEBn9cN,LOD Laundromat,https://github.com/LOD-Laundromat,1755,System_KGRD|System_KGRD|System_KGRD|System_KGRD,QmVchBKNMjwfQsGqkS3Ho8GbSDEyf4Rxtx2TfXgWX1464D|QmV2C8ux7PSEtDqjj6UtyePaCCmiZJ2NGo3homokYrM9ke|QmZLUzutq4CGXc3f3nL2D1xv2U1ox39WetkPp6JYmF7xY2|QmZrZr5bYzr85aP6QqwzrqTr1Ai8Zswc7a8Wg6y51zBqN9
+,123456789/293169,System_EVFO3,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmdpDFzEZaKCPdDbNEGsJog93XKifVNUYiVAoaJwNZ6gFV,LOD Laundromat,https://github.com/LOD-Laundromat,2208,System_EVFO3|System_EVFO3|System_EVFO3|System_EVFO3|System_EVFO3,QmXDuZsTibZ6fT2Bto1RGLXz3xMVptziWZqFy42kEnVdrX|QmdgkAJwERzohenut7aYgr7gxy1LF75S6pH4KTWmVFjY2T|QmbMknDgZfKiZdeirnXcpRUWExFbe8bubQhy9w69ShAtCt|QmWYCfh9uAVBUjgAitcQFabxtkJ6X5pV55hG4ZRth8DS3t|QmTpjBcH2RDC3jCab2qxcWnLaoxwwLbqPjkgnB4shMgvHA
+,123456789/293169,System_KVLL,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmXC7WyWPDwpDEJhEtpkzHvuUojYnDBMe19hPemVNeZTou,LOD Laundromat,https://github.com/LOD-Laundromat,4680,System_KVLL|System_KVLL|System_KVLL|System_KVLL|System_KVLL|System_KVLL|System_KVLL,QmXUfZFr1MJ4668KvtCX49hRutPPU6SfhD2JYCn7y53a7K|QmTKUXHDC2vvYAerdVCQ44NKxhRK41GN75nN4e3bzxj9wc|QmNsRZ5tmPrSVtWtTfSp3aji5sXz7ZymeNfXQtfVfx2Zpa|QmT1gNuAwWKekcC6MDftae5dgg5gN3sg7vk22Q8EA6Lyoa|QmR3gsEJsypdisE8BCvNqRSRcG7vaXFk4Fr7cEdNSjnPMK|Qmb6vDvyDCqMxXGzwiq228pMXWRd2T6yDrb2X7rcZRne9L|QmXainLGvjL7eHfVoagRpdi6KBDwyWrrWjX8SGoyt9BHEF
+,123456789/293169,System_KGAG,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmRrcva3BpVPJEwia66aZ667vzapx1bVw8E1osMqKy8Ssc,LOD Laundromat,https://github.com/LOD-Laundromat,1958,System_KGAG|System_KGAG|System_KGAG|System_KGAG|System_KGAG|System_KGAG|System_KGAG,QmWtqS98RVgPrdbtdGFC4Xgmdq6YAiWUd7Fs2pjvntQPFg|QmVWBCAnAZWPqR4P8YV8VSUUJwd3EFHsw366jWQ5TGscDA|QmUnPNouEVnC1HMQwZs5CNjdWJF83xJJ3mziXSC4WXA9oH|Qmf6W78iVaJGEJzXLQXC8iitHLykohs5LQ2hHg3QSG6sHQ|QmasqLFB8RpeGCE5bvsPZxMxncNBRzAcfQwzL6CqCmB9f6|QmeJZi8JKw1Xm5LPGstwQ5yETFCeuG77jjnFmiiTGkbFuQ|QmefKoaQXHYPuhaCQSGTut6WdNtWb4JQFSLkaSHaaa1rjA
+,123456789/293169,System_AP856,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,Qme52JkPtTZtypomYyG4WH8FESKkacdtvyL7J5yj4x5nzx,LOD Laundromat,https://github.com/LOD-Laundromat,3534,System_AP856|System_AP856,QmUAYncoqo24Q4T271XS2UN9jvTHGftbA47yC1YRMWhbon|QmYNnckcZJvo5xp1VR9Jd4RsnxTTLPhx16sjGauP7Ydun5
+,123456789/293169,System_WTTC2,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmcuDDag6stwgk1aU4WTwHGSeB9PXX6fpV1B1hCSYzE9XZ,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_WTTC2|System_WTTC2|System_WTTC2,QmQg2761eEpzNn35zoTXZW28EtUEAaZZL7Eqk3twG35ZRx|QmeR6fTmhnE8oiK5CbbcxFbo7nJgcJDkAxyawNm9BpLgJa|QmPmnFCcFY3tejEkRLkaU7GTq5Fp2RXsNftGDgktDFUYxf
+,123456789/293169,System_C8801,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmNpPXZjpeC5hvaKwHANfzmt7tN6vJowp6rGu2S8vsTrd5,LOD Laundromat,https://github.com/LOD-Laundromat,1128,System_C8801|System_C8801|System_C8801|System_C8801|System_C8801|System_C8801,QmbSvjrh4nGt1u6KZbe7XQJgjziiWq2WjGiuf5WtmHSY3B|QmPbFRwj13bxCTDa6fiwGmiChS15Y6wedH7ta3CMjuDEMP|QmWXunBHRRZohHrZ95MJRBwGUJPARjPbsHTdnhUdHtY1Gz|QmQKzEKXfAveVdFyA8LFFbrGRfcvJ3x8roTMjpafhbhBot|QmWEeDff7PWxZ3oSxZhuVxSj6wvCFhTzYCG7Hm48KZCBGH|QmfMuHkvwoHzqmZ6jsk9zMkRQkBSwi91tCTaYvdfE76Cjc
+,123456789/293169,System_WWNC1,This resource can be accessed via ipfs using the “download Url” provided. Follow these instruction to use IPFS: https://lod-cloud.net/ipfs-how-to.html,hdt,QmQZqegK7UsgX6jmMWAqzWUEjdvr4ykpAD4i3VkZvrHzAH,LOD Laundromat,https://github.com/LOD-Laundromat,1992,System_WWNC1|System_WWNC1|System_WWNC1|System_WWNC1|System_WWNC1|System_WWNC1,QmP7e3xbHnzhkvLDq4ZoY79tkz1X45AYC5wRpbMX6CGrmv|QmRfKK1iudcB566gfBKkqNjUyCvQgFhW4CnDQEYvXj8pCE|QmWgAqHoT552AijxPyiit9iBpcvHKCnXViwCiXbyzms8uQ|Qmd5D4VurFaX38gm6GYL73uGJbDQRKofTgo4DcynVwKVs6|QmWMfWezTv2NsjoLBdYLWnijfFtF2U6HVrmCVumLzEeBTj|QmZCxCYqCDzj8ja6XFmT29y4owGrHtEgne15PDH1XD7CbG
